Timestamp,Temp_C,Hum_%,EMA_Temp,EMA_Hum,SMA_Temp,SMA_Hum
2025-08-16 01:12:07,36.72,23.29,36.72,23.29,36.72,23.29
2025-08-16 01:12:08,36.52,23.55,36.70,23.31,36.62,23.42
2025-08-16 01:12:09,36.28,23.71,36.66,23.35,36.51,23.52
2025-08-16 01:12:10,36.07,24.11,36.60,23.43,36.40,23.66
2025-08-16 01:12:11,35.91,24.64,36.53,23.55,36.30,23.86
2025-08-16 01:12:12,35.75,24.35,36.45,23.63,36.11,24.07
2025-08-16 01:12:13,35.56,24.30,36.36,23.70,35.91,24.22
2025-08-16 01:12:14,35.41,24.29,36.27,23.76,35.74,24.34
2025-08-16 01:12:15,35.21,24.43,36.16,23.82,35.57,24.40
2025-08-16 01:12:16,35.08,24.55,36.05,23.90,35.40,24.38
2025-08-16 01:12:17,34.97,24.76,35.94,23.98,35.24,24.47
2025-08-16 01:12:18,34.80,25.02,35.83,24.09,35.09,24.61
2025-08-16 01:12:19,34.67,25.16,35.71,24.19,34.95,24.78
2025-08-16 01:12:20,34.53,25.34,35.60,24.31,34.81,24.96
2025-08-16 01:12:21,34.38,25.51,35.47,24.43,34.67,25.16
2025-08-16 01:12:22,34.19,25.45,35.35,24.53,34.51,25.30
2025-08-16 01:12:23,34.02,25.62,35.21,24.64,34.36,25.42
2025-08-16 01:12:24,33.87,25.72,35.08,24.75,34.20,25.53
2025-08-16 01:12:25,33.72,25.95,34.94,24.87,34.04,25.65
2025-08-16 01:12:26,33.60,26.19,34.81,25.00,33.88,25.79
2025-08-16 01:12:27,33.44,26.40,34.67,25.14,33.73,25.98
2025-08-16 01:12:28,33.26,26.65,34.53,25.29,33.58,26.18
2025-08-16 01:12:29,33.15,26.74,34.39,25.44,33.43,26.39
2025-08-16 01:12:30,32.98,26.94,34.25,25.59,33.29,26.59
2025-08-16 01:12:31,32.85,27.11,34.11,25.74,33.14,26.77
2025-08-16 01:12:32,32.71,27.34,33.97,25.90,32.99,26.96
2025-08-16 01:12:33,32.54,27.49,33.83,26.06,32.85,27.13
2025-08-16 01:12:34,32.40,27.74,33.68,26.23,32.70,27.33
2025-08-16 01:12:36,32.24,27.96,33.54,26.40,32.55,27.53
2025-08-16 01:12:37,32.09,28.53,33.40,26.61,32.40,27.81
2025-08-16 01:12:38,31.97,28.92,33.25,26.84,32.25,28.13
2025-08-16 01:12:39,31.83,29.09,33.11,27.07,32.11,28.45
2025-08-16 01:12:40,31.72,29.14,32.97,27.28,31.97,28.73
2025-08-16 01:12:41,31.61,29.24,32.84,27.47,31.85,28.99
2025-08-16 01:12:42,31.48,29.42,32.70,27.67,31.72,29.16
2025-08-16 01:12:43,31.38,29.52,32.57,27.85,31.61,29.28
2025-08-16 01:12:44,31.33,29.50,32.44,28.02,31.50,29.36
2025-08-16 01:12:45,31.21,29.55,32.32,28.17,31.40,29.45
2025-08-16 01:12:46,31.09,29.69,32.20,28.32,31.30,29.53
2025-08-16 01:12:47,30.94,29.88,32.07,28.48,31.19,29.63
2025-08-16 01:12:48,30.83,30.08,31.95,28.64,31.08,29.74
2025-08-16 01:12:49,30.68,30.31,31.82,28.81,30.95,29.90
2025-08-16 01:12:50,30.54,30.49,31.69,28.97,30.82,30.09
2025-08-16 01:12:51,30.46,30.71,31.57,29.15,30.69,30.30
2025-08-16 01:12:52,30.35,30.93,31.45,29.33,30.57,30.50
2025-08-16 01:12:53,30.30,31.15,31.33,29.51,30.47,30.72
2025-08-16 01:12:54,30.25,31.41,31.22,29.70,30.38,30.94
2025-08-16 01:12:55,30.14,31.57,31.12,29.89,30.30,31.16
2025-08-16 01:12:56,30.03,31.74,31.01,30.07,30.21,31.36
2025-08-16 01:12:57,29.96,31.81,30.90,30.25,30.14,31.54
2025-08-16 01:12:58,29.89,31.95,30.80,30.42,30.05,31.70
2025-08-16 01:12:59,29.80,32.07,30.70,30.58,29.96,31.83
2025-08-16 01:13:00,29.73,32.21,30.60,30.74,29.88,31.96
2025-08-16 01:13:01,29.69,32.20,30.51,30.89,29.81,32.05
2025-08-16 01:13:02,29.59,32.26,30.42,31.03,29.74,32.14
2025-08-16 01:13:03,29.53,32.17,30.33,31.14,29.67,32.18
2025-08-16 01:13:04,29.44,32.21,30.24,31.25,29.60,32.21
2025-08-16 01:13:05,29.36,32.43,30.15,31.37,29.52,32.25
2025-08-16 01:13:06,29.24,32.66,30.06,31.50,29.43,32.35
2025-08-16 01:13:08,29.13,32.77,29.97,31.62,29.34,32.45
2025-08-16 01:13:09,29.03,32.89,29.87,31.75,29.24,32.59
2025-08-16 01:13:10,28.94,33.01,29.78,31.88,29.14,32.75
2025-08-16 01:13:11,28.86,33.16,29.69,32.00,29.04,32.90
2025-08-16 01:13:12,28.74,33.55,29.59,32.16,28.94,33.07
2025-08-16 01:13:13,28.64,33.69,29.50,32.31,28.84,33.26
2025-08-16 01:13:14,28.56,33.72,29.41,32.45,28.75,33.43
2025-08-16 01:13:15,28.51,33.82,29.32,32.59,28.66,33.59
2025-08-16 01:13:16,28.41,33.99,29.23,32.73,28.57,33.75
2025-08-16 01:13:17,28.32,34.09,29.13,32.87,28.49,33.86
2025-08-16 01:13:18,28.28,34.36,29.05,33.02,28.42,34.00
2025-08-16 01:13:19,28.19,34.50,28.96,33.16,28.34,34.15
2025-08-16 01:13:20,28.14,34.67,28.88,33.31,28.27,34.32
2025-08-16 01:13:21,28.09,34.74,28.80,33.46,28.21,34.47
2025-08-16 01:13:22,28.05,34.88,28.73,33.60,28.15,34.63
2025-08-16 01:13:23,27.98,35.00,28.65,33.74,28.09,34.76
2025-08-16 01:13:24,27.96,35.00,28.58,33.87,28.05,34.86
2025-08-16 01:13:25,27.89,35.14,28.51,33.99,28.00,34.95
2025-08-16 01:13:26,27.81,35.24,28.44,34.12,27.94,35.05
2025-08-16 01:13:27,27.74,35.34,28.37,34.24,27.88,35.14
2025-08-16 01:13:28,27.69,35.42,28.31,34.36,27.82,35.23
2025-08-16 01:13:29,27.64,35.52,28.24,34.47,27.75,35.33
2025-08-16 01:13:30,27.56,35.60,28.17,34.59,27.69,35.43
2025-08-16 01:13:31,27.52,36.02,28.11,34.73,27.63,35.58
2025-08-16 01:13:32,27.49,36.30,28.04,34.89,27.58,35.77
2025-08-16 01:13:33,27.41,36.47,27.98,35.05,27.52,35.98
2025-08-16 01:13:34,27.35,36.60,27.92,35.20,27.46,36.20
2025-08-16 01:13:35,27.28,36.65,27.85,35.35,27.41,36.41
2025-08-16 01:13:36,27.25,36.71,27.79,35.48,27.36,36.54
2025-08-16 01:13:37,27.18,36.73,27.73,35.61,27.29,36.63
2025-08-16 01:13:39,27.14,36.81,27.67,35.73,27.24,36.70
2025-08-16 01:13:40,27.09,36.91,27.61,35.85,27.19,36.76
2025-08-16 01:13:41,27.05,36.93,27.56,35.95,27.14,36.82
2025-08-16 01:13:42,27.01,37.14,27.50,36.07,27.09,36.90
2025-08-16 01:13:43,26.95,37.23,27.45,36.19,27.05,37.00
2025-08-16 01:13:44,26.88,37.39,27.39,36.31,27.00,37.12
2025-08-16 01:13:45,26.84,37.63,27.34,36.44,26.95,37.26
2025-08-16 01:13:46,26.77,37.90,27.28,36.59,26.89,37.46
2025-08-16 01:13:47,26.70,38.07,27.22,36.73,26.83,37.64
2025-08-16 01:13:48,26.66,38.10,27.17,36.87,26.77,37.82
2025-08-16 01:13:49,26.63,37.99,27.11,36.98,26.72,37.94
2025-08-16 01:13:50,26.57,37.82,27.06,37.07,26.67,37.98
